i_id,s_id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality,company,ticker,page_number,pdf_url,company_source
10001,V4000_65073,緯穎科技以「知人善用、適才適所、育才留才」理念發展人力資本，員工與組織共同成長，達到企業最大效益。,S,No,,N/A,N/A,,N/A,wiwynn,6669,104,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/wiwynn_6669_page_104.pdf,https://www.wiwynn.com/zh/esg?srsltid=AfmBOorvFrT1ZHOSpBKt9v6gwVkwdiWT6ZYLhQDWqQ06r_frvS6qSFZM
10002,V4000_31026,隸屬於董事會下的功能性委員會，負責統籌氣候風險治理機制，確保相關政策與管理架構均符合企業永續發展目標，並與公司整體風險管理架構相互銜接。因此，風險管理委員會職責為核定並監督氣候風險管理架構與政策、確認氣候風險已納入風險胃納的質化或量化指標，以確保氣候治理機制有效運作並提升風險管理的完整性與可監測性。為了強化決策層對於氣候風險的認識，委員會職責亦含確保董事會及高階管理階層對氣候風險與機會有適切的了解，以提升其在氣候治理上的能力，進而確保氣候策略的有效推動。,E,Yes,以確保氣候治理機制有效運作並提升風險管理的完整性與可監測性。 ｜ 為了強化決策層對於氣候風險的認識， ｜ 以提升其在氣候治理上的能力，進而確保氣候策略的有效推動。,already,Yes,董事會下的功能性委員會，負責統籌氣候風險治理機制，確保相關政策與管理架構均符合企業永續發展目標，並與公司整體風險管理架構相互銜接。 ｜ 風險管理委員會職責為核定並監督氣候風險管理架構與政策、確認氣候風險已納入風險胃納的質化或量化指標， ｜ 委員會職責亦含確保董事會及高階管理階層對氣候風險與機會有適切的了解，,Not Clear,fubon,2881,117,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/fubon_2881_page_117.pdf,https://esg.fubonlife.com.tw/esg-report
10003,V4000_17001,"III. 產品危害物質減免 (HSF) 短、中、長期目標設定    **1. 2024 年 目標和實績**  *   已達標  *   詳述於 ""產品各階段危害物質減免風險管理目標與成效""    **2. 短期目標 2025~2026 年**  *   監控 PFAS 中有害物質管制要求  *   減少 RoHS 豁免零件之使用，往 Lead Free 持續前進。    **3. 中長期目標 2026~2027 年**  *   優化綠色管理系統審查作業提升效率。",E,Yes,III. 產品危害物質減免 (HSF) 短、中、長期目標設定,between_2_and_5_years,Yes,"1. 2024 年 目標和實績**  *   已達標  *   詳述於 ""產品各階段危害物質減免風險管理目標與成效""    **2. 短期目標 2025~2026 年**  *   監控 PFAS 中有害物質管制要求  *   減少 RoHS 豁免零件之使用，往 Lead Free 持續前進。    **3. 中長期目標 2026~2027 年**  *   優化綠色管理系統審查作業提升效率。",Not Clear,accton,2345,93,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/accton_2345_page_93.pdf,https://www.accton.com.tw/esg-documents/
10004,V4000_23039,2024年門市生活垃圾共101.12公噸，比去年減少15.84公噸。資源回收61.93公噸，比去年減少0.97公噸。主要廢棄物來自生活垃圾，依店型和人數分級量測及推估。公司定期向同仁宣導垃圾減量、分類再利用，實施電子簽辦及視訊會議等。,E,Yes,公司定期向同仁宣導垃圾減量、分類再利用，實施電子簽辦及視訊會議等。,already,Yes,2024年門市生活垃圾共101.12公噸，比去年減少15.84公噸。資源回收61.93公噸，比去年減少0.97公噸。,Clear,twm,3045,103,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/twm_3045_page_103.pdf,https://corp.taiwanmobile.com/esg/esg-report.html
10005,V4000_36072,為保障員工權益，長榮航空訂有勞工申訴處理辦法，員工得依正式申訴管道反應問題，後續公司將會妥善地與員工溝通協調，以取得勞資雙方認同。2021 到 2024 年經由正式申訴機制提交的勞工實務問題申訴共有 46 件，其中新增案件主要為訓練賠償款及薪資核敘方式等相關事項爭議，未來將加強勞資雙方僱用條件溝通，以預防相關勞資爭議再發生，而面對已發生的申訴案，採取代理性和平方式協調解決。,S,Yes,未來將加強勞資雙方僱用條件溝通，以預防相關勞資爭議再發生，而面對已發生的申訴案，採取代理性和平方式協調解決。,between_2_and_5_years,Yes,為保障員工權益，長榮航空訂有勞工申訴處理辦法，員工得依正式申訴管道反應問題，後續公司將會妥善地與員工溝通協調，以取得勞資雙方認同。2021 到 2024 年經由正式申訴機制提交的勞工實務問題申訴共有 46 件，其中新增案件主要為訓練賠償款及薪資核敘方式等相關事項爭議，,Clear,emc,2603,95,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/emc_2603_page_95.pdf,https://www.evacsr.com/
10006,V4000_63096,為持續喚起大眾保護珊瑚礁的意識，台達偕同海生館、海科館、墾丁國家公園管理處進行水下直播，用 4K 影像即時捕捉海下面，搭配研究人員於船上和海下進行講解，讓民眾掌握珊瑚知識與產卵進度，直播共觸及 117.3 萬人次、瀏覽達 20.2 萬人次。同時再次與英國 Wildscreen 合作，引進國際知名自然紀錄片於台灣北中南巡迴播映；亦與海科館、澳洲詹姆士庫克大學珊瑚卓越中心合作，前往澳洲大堡礁拍攝海下白化現象，連結影像創作與環境議題。,E,Yes,為持續喚起大眾保護珊瑚礁的意識，,between_2_and_5_years,Yes,偕同海生館、海科館、墾丁國家公園管理處進行水下直播，用 4K 影像即時捕捉海下面，搭配研究人員於船上和海下進行講解，讓民眾掌握珊瑚知識與產卵進度，直播共觸及 117.3 萬人次、瀏覽達 20.2 萬人次。,Clear,delta,2308,215,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/delta_2308_page_215.pdf,https://esg.deltaww.com/CSR-Reports
10007,V4000_33051,台光電子致力於打造友善的工作環境，讓員工在繁忙的工作之餘，能夠享受愉快的交流時光，促進團隊凝聚力與身心健康。我們深信，良好的企業文化不僅來自於專業的工作表現，更需要透過多元的活動，讓員工建立歸屬感，提升工作滿意度。為此，公司定期舉辦各類活動，鼓勵員工在輕鬆的氛圍中交流互動，包含球類運動、趣味競賽或節慶活動等。,S,Yes,台光電子致力於打造友善的工作環境，,longer_than_5_years,Yes,司定期舉辦各類活動，鼓勵員工在輕鬆的氛圍中交流互動，包含球類運動、趣味競賽或節慶活動等。,Clear,emc2,2383,67,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/emc2_2383_page_67.pdf,https://www.emctw.com/zh-TW/csr_report/index
10008,V4000_57004,"統一超商每年持續投入大量教育訓練資源，針對不同階層、部門設計規劃不同課程，包含新進人員訓練、階層別訓練、門市、後勤公開班、通識課程、及各單位專業訓練。2024 年教育訓練總費用投入共 86,888 仟元，平均每人訓練費用 9,459 元，相較去年人均訓練費用多 2,424 元；全公司教育訓練總時數為 134,624 小時，平均每人受訓時數為 14.66 小時（註）。2024 年因應同仁工作型態，除了持續開辦實體課程，也積極打造數位學習環境，推行全員趨勢講座和辦理許多數位工具的課程，歷經一年的培訓，同仁皆已具備新科技的認知和知識，將逐步轉為工作實踐和應用。統一超商提供各階層所需之訓練課程，更有豐富多元之線上數位課程資源，在良好的數位學習環境中讓同仁藉由彈性自學不受時空限制以及線上認證的雙軌制度，以滿足同仁各種學習需求。",S,Yes,統一超商每年持續投入大量教育訓練資源，針對不同階層、部門設計規劃不同課程，包含新進人員訓練、階層別訓練、門市、後勤公開班、通識課程、及各單位專業訓練。,longer_than_5_years,Yes,"2024 年教育訓練總費用投入共 86,888 仟元，平均每人訓練費用 9,459 元，相較去年人均訓練費用多 2,424 元；全公司教育訓練總時數為 134,624 小時，平均每人受訓時數為 14.66 小時（註）。2024 年因應同仁工作型態，除了持續開辦實體課程，也積極打造數位學習環境，推行全員趨勢講座和辦理許多數位工具的課程，歷經一年的培訓，同仁皆已具備新科技的認知和知識，將逐步轉為工作實踐和應用。 ｜ 統一超商提供各階層所需之訓練課程，更有豐富多元之線上數位課程資源，在良好的數位學習環境中讓同仁藉由彈性自學不受時空限制以及線上認證的雙軌制度，以滿足同仁各種學習需求。",Clear,pcsc,2912,66,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/pcsc_2912_page_66.pdf,https://www.7-11.com.tw/Company/esg/reports.aspx
10009,V4000_21014,國泰金控更訂定氣候風險胃納聲明與控管機制，參考外部資料為受氣候變遷影響的高風險產業設定限額，並定期監控曝險變化，以將氣候風險因子整合於投資融資決策流程中。為減緩氣候變遷，國泰金控針對煤炭及非常規石油及天然氣產業訂定減碳策略及目標，提升營運韌性，邁向低碳永續未來。,E,Yes,為減緩氣候變遷，,between_2_and_5_years,Yes,國泰金控針對煤炭及非常規石油及天然氣產業訂定減碳策略及目標，,Not Clear,cathay,2882,173,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/cathay_2882_page_173.pdf,https://www.cathayholdings.com/holdings/esg/reports/reports_download
10010,V4000_23049,氣候變遷是全球人類面臨的議題，台灣大哥大致力控制升溫在攝氏1.5度，除設定淨零目標並制定氣候策略，更積極參與相關公/協會和國際倡導組織，並由本公司高階經營團隊 ( 即CXO執行層級 ) 對於任何公共政策參與，進行審查、監督機制來審核並管理，以確保與全球氣候協議、巴黎協議一致。此外，本公司結合科技核心運用AI和及大數據及物聯網技術，促進營運和價值鏈永續發展，減少環境衝擊，與自然共榮共存。,E,Yes,氣候變遷是全球人類面臨的議題，台灣大哥大致力控制升溫在攝氏1.5度，,between_2_and_5_years,Yes,設定淨零目標並制定氣候策略，更積極參與相關公/協會和國際倡導組織，,Clear,twm,3045,49,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/twm_3045_page_49.pdf,https://corp.taiwanmobile.com/esg/esg-report.html
10011,V4000_13061,研華攜手台灣高科技廠房設施協會（HTFA）赴日，參訪日本知名大學的研發中心、新創中心及技術轉移新創企業，並造訪 Manufacturing World Tokyo，推廣軟硬體整合解決方案，提升品牌影響力與市場認知度。此次參訪旨在強化與日本學界及企業的產學合作關係，建立技術交流與商業合作平台，以促進創新技術的開發與應用，並提升在日本產學界的國際能見度，拓展技術合作與市場機會，並深化兩國產業連結。透過實地交流，日本學界與產業界可更精準掌握台灣高科技產業的需求與技術能力，進一步推動雙方在關鍵技術領域及人才培育方面的合作，為台灣半導體供應鏈的國際佈局奠定穩固基礎。,S,Yes,旨在強化與日本學界及企業的產學合作關係，建立技術交流與商業合作平台， ｜ ，進一步推動雙方在關鍵技術領域及人才培育方面的合作，為台灣半導體供應鏈的國際佈局奠定穩固基礎。,already,Yes,研華攜手台灣高科技廠房設施協會（HTFA）赴日， ｜ 參訪日本知名大學的研發中心、新創中心及技術轉移新創企業，並造訪  ｜ Manufacturing  ｜ World  ｜ Tokyo，推廣軟硬體整合解決方案，提升品牌影響力與市場認知度。此,Clear,acl,2395,241,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/acl_2395_page_241.pdf,https://esg.advantech.com/zh-tw/downloads/sustainability-report
10012,V4000_53083,大立光遵守勞動相關法規，制訂「工作規則」與「職業安全衛生工作守則及安衛組織暨人員編制」並送主管政府機關核備在案，合法保障的勞動條件與維護員工安全衛生的權益，並遵循「RBA 責任商業聯盟行為準則」的規定，提供員工健康與安全的工作環境、建構多元開放的勞資溝通管道，搭配公平的薪酬與晉升、完整的訓練發展體系、培養員工職業道德與保護營業秘密、健全的福利制度以及營造溫馨和諧的工作氛圍，藉由公開透明之激勵獎金與利潤分享制度，讓員工安心貢獻其能力與績效，與公司共同成長與發展，奠定永續經營深厚的基石。,S,Yes,大立光遵守勞動相關法規，,between_2_and_5_years,Yes,制訂「工作規則」與「職業安全衛生工作守則及安衛組織暨人員編制」並送主管政府機關核備在案，合法保障的勞動條件與維護員工安全衛生的權益，並遵循「RBA 責任商業聯盟行為準則」的規定，提供員工健康與安全的工作環境、建構多元開放的勞資溝通管道，搭配公平的薪酬與晉升、完整的訓練發展體系、培養員工職業道德與保護營業秘密、,Clear,largan,3008,69,https://hsxn1sjvkgtdpixe.public.blob.vercel-storage.com/largan_3008_page_69.pdf,https://www.largan.com.tw/tw/esg
